,strata,country,age_gender,employed,tertiary,population,pop_country
402,18,Finland,5,2,1,21139,4634305
403,19,Finland,5,1,2,162901,4634305
404,20,Finland,5,1,1,86275,4634305
405,21,Finland,6,2,2,361077,4634305
406,22,Finland,6,2,1,133880,4634305
407,23,Finland,6,1,2,44166,4634305
408,24,Finland,6,1,1,26673,4634305
409,25,Finland,7,2,2,137501,4634305
410,26,Finland,7,2,1,3287,4634305
411,27,Finland,7,1,2,116365,4634305
412,28,Finland,7,1,1,8126,4634305
413,29,Finland,8,2,2,59237,4634305
414,30,Finland,8,2,1,22400,4634305
415,31,Finland,8,1,2,118671,4634305
416,32,Finland,8,1,1,143395,4634305
417,33,Finland,9,2,2,34860,4634305
418,34,Finland,9,2,1,18657,4634305
419,35,Finland,9,1,2,112155,4634305
420,36,Finland,9,1,1,180555,4634305
421,37,Finland,10,2,2,33378,4634305
422,38,Finland,10,2,1,13332,4634305
423,39,Finland,10,1,2,111213,4634305
424,40,Finland,10,1,1,167918,4634305
425,41,Finland,11,2,2,70992,4634305
426,42,Finland,11,2,1,29607,4634305
427,43,Finland,11,1,2,129775,4634305
428,44,Finland,11,1,1,133712,4634305
429,45,Finland,12,2,2,506053,4634305
430,46,Finland,12,2,1,159925,4634305
431,47,Finland,12,1,2,24868,4634305
432,48,Finland,12,1,1,22394,4634305
433,1,France,1,2,2,2164721,55128895
434,2,France,1,2,1,206325,55128895
435,3,France,1,1,2,956515,55128895
436,4,France,1,1,1,395308,55128895
437,5,France,2,2,2,435256,55128895
438,6,France,2,2,1,180917,55128895
439,7,France,2,1,2,1659974,55128895
440,8,France,2,1,1,1565328,55128895
441,9,France,3,2,2,372958,55128895
442,10,France,3,2,1,115834,55128895
443,11,France,3,1,2,1921196,55128895
444,12,France,3,1,1,1704949,55128895
445,13,France,4,2,2,418828,55128895
446,14,France,4,2,1,128035,55128895
447,15,France,4,1,2,2248205,55128895
448,16,France,4,1,1,1534185,55128895
449,17,France,5,2,2,1474302,55128895
450,18,France,5,2,1,294614,55128895
451,19,France,5,1,2,1565438,55128895
452,20,France,5,1,1,824392,55128895
453,21,France,6,2,2,4630930,55128895
454,22,France,6,2,1,1205543,55128895
455,23,France,6,1,2,149596,55128895
456,24,France,6,1,1,162639,55128895
457,25,France,7,2,2,2103843,55128895
458,26,France,7,2,1,254193,55128895
459,27,France,7,1,2,722809,55128895
460,28,France,7,1,1,465064,55128895
461,29,France,8,2,2,647695,55128895
462,30,France,8,2,1,284788,55128895
463,31,France,8,1,2,1175733,55128895
464,32,France,8,1,1,1843633,55128895
465,33,France,9,2,2,620172,55128895
466,34,France,9,2,1,280982,55128895
